Timestamp,CPU_Perc,Mem_Usage
1780074804000,0.31%,67.9MiB / 7.563GiB
1780074806000,0.37%,68.41MiB / 7.563GiB
1780074808000,0.37%,68.1MiB / 7.563GiB
1780074811000,0.63%,68.38MiB / 7.563GiB
1780074814000,0.50%,68.5MiB / 7.563GiB
1780074816000,0.53%,67.94MiB / 7.563GiB
1780074818000,0.24%,68.37MiB / 7.563GiB
1780074821000,0.93%,68.21MiB / 7.563GiB
1780074823000,0.42%,68.09MiB / 7.563GiB
1780074825000,0.21%,68.63MiB / 7.563GiB
1780074827000,10.05%,68.08MiB / 7.563GiB
1780074830000,0.87%,68.09MiB / 7.563GiB
1780074832000,0.76%,67.79MiB / 7.563GiB
1780074834000,0.49%,68.11MiB / 7.563GiB
1780074836000,0.92%,68.18MiB / 7.563GiB
1780074838000,0.61%,67.8MiB / 7.563GiB
1780074841000,0.36%,68.02MiB / 7.563GiB
1780074843000,0.48%,67.49MiB / 7.563GiB
1780074845000,0.41%,67.81MiB / 7.563GiB
1780074847000,0.64%,68.45MiB / 7.563GiB
1780074850000,7.48%,68.13MiB / 7.563GiB
1780074852000,0.97%,68.26MiB / 7.563GiB
1780074854000,0.62%,67.58MiB / 7.563GiB
1780074856000,0.94%,67.89MiB / 7.563GiB
1780074858000,1.20%,68.34MiB / 7.563GiB
1780074861000,0.49%,68.03MiB / 7.563GiB
1780074863000,0.35%,68.22MiB / 7.563GiB
1780074866000,0.72%,68.59MiB / 7.563GiB
1780074868000,0.93%,67.91MiB / 7.563GiB
1780074871000,0.44%,68.27MiB / 7.563GiB
1780074873000,0.40%,67.57MiB / 7.563GiB
1780074875000,0.41%,67.88MiB / 7.563GiB
1780074877000,1.06%,68.11MiB / 7.563GiB
1780074880000,7.74%,68.21MiB / 7.563GiB
1780074882000,0.43%,68.21MiB / 7.563GiB
1780074884000,1.06%,67.56MiB / 7.563GiB
1780074886000,0.49%,68.04MiB / 7.563GiB
1780074888000,0.24%,68.42MiB / 7.563GiB
1780074891000,0.92%,67.55MiB / 7.563GiB
1780074893000,0.66%,68.09MiB / 7.563GiB
1780074895000,0.43%,68.32MiB / 7.563GiB
1780074897000,0.70%,67.74MiB / 7.563GiB
1780074900000,0.42%,68.06MiB / 7.563GiB
1780074902000,1.32%,67.52MiB / 7.563GiB
1780074904000,0.56%,67.75MiB / 7.563GiB
1780074906000,0.35%,68.04MiB / 7.563GiB
1780074908000,0.28%,67.46MiB / 7.563GiB
1780074911000,0.57%,67.82MiB / 7.563GiB
1780074913000,0.22%,68.3MiB / 7.563GiB
1780074915000,0.21%,67.6MiB / 7.563GiB
1780074917000,0.68%,68.06MiB / 7.563GiB
1780074920000,0.35%,67.59MiB / 7.563GiB
1780074923000,0.52%,68.07MiB / 7.563GiB
1780074925000,0.28%,68.13MiB / 7.563GiB
1780074927000,0.38%,68.18MiB / 7.563GiB
1780074929000,0.45%,68.42MiB / 7.563GiB
1780074932000,0.73%,68.12MiB / 7.563GiB
1780074934000,0.59%,68.2MiB / 7.563GiB
